fileID,f1,f2,vot,notes
ne01_kaka,888.07,1648.85,14.80,
ne01_kaka1,950.47,1769.28,17.74,
ne01_kaka2,1074.88,1758.22,17.38,
ne01_keke,470.99,2484.59,35.66,
ne01_keke1,603.90,2474.00,20.00,
ne01_keke2,491.90,2646.25,23.70,
ne01_kiki,355.74,2845.27,18.26,
ne01_kiki1,958.08,2261.88,28.98,
ne01_kiki2,438.62,2781.91,29.37,
ne01_koko,665.11,1080.23,16.82,
ne01_koko1,577.69,1062.39,14.30,
ne01_koko2,649.28,1103.05,17.67,
ne01_kuku,487.75,1103.41,22.44,
ne01_kuku1,441.46,1007.64,17.16,
ne01_kuku2,1086.29,2129.31,12.18,
ne01_paka,757.50,1498.19,11.51,
ne01_paka1,797.88,1525.88,5.87,
ne01_paka2,847.54,1650.43,8.14,
ne01_peke,394.63,2670.13,4.37,
ne01_peke1,382.44,2669.54,14.15,
ne01_peke2,548.79,2518.09,6.29,
ne01_piki,400.48,2849.75,4.90,
ne01_piki1,419.54,2873.08,6.15,
ne01_piki2,372.17,2932.67,4.62,
ne01_poko,517.01,1082.60,19.72,
ne01_poko1,575.73,1155.71,13.20,
ne01_poko2,509.17,1056.30,4.98,
ne01_puku,422.51,1061.70,8.68,
ne01_puku1,449.86,1061.17,13.08,
ne01_puku2,438.81,1011.47,22.90,
ne01_taka,884.77,1702.06,9.19,
ne01_taka1,1210.37,1786.24,6.77,
ne01_taka2,925.35,1737.58,4.31,
ne01_teke,518.10,2460.10,8.70,
ne01_teke1,549.96,2475.07,6.28,
ne01_teke2,748.88,2500.86,3.69,
ne01_tiki,372.27,2875.39,4.80,
ne01_tiki1,384.19,2838.28,4.32,
ne01_tiki2,362.28,3006.21,14.66,
ne01_toko,580.28,981.00,2.69,
ne01_toko1,439.56,1082.48,5.82,
ne01_toko2,557.98,1063.93,6.03,
ne01_tuku,422.39,1065.90,19.29,
ne01_tuku1,414.20,1071.89,9.04,
ne01_tuku2,1051.79,1650.95,11.54,
